,pkey,com,dom,gn,fap,pl,gl
245,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,27
246,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,28
247,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,28
248,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
249,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,27
250,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,28
251,IPC2000-elevator-mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,28
252,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,20
253,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,20
254,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,20
255,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,20
256,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,20
257,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,20
258,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,20
259,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,20
260,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
261,IPC2000-elevator-mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,20
262,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4,4,4
263,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4,4,4
264,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3,3,3
265,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3,3,3
266,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4,4,4
267,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4,4,4
268,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4,4,4
269,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4,4,4
270,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4,4,4
271,IPC2000-elevator-mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4,4,4
272,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,15
273,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,15
274,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,15
275,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,15
276,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,15
277,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,15
278,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,15
279,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,15
280,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,15
281,IPC2000-elevator-mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,15
282,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
283,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,14
284,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
285,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
286,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
287,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,14
288,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
289,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
290,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
291,IPC2000-elevator-mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
292,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
293,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
294,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
295,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
296,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
297,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
298,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
299,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
300,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
301,IPC2000-elevator-mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
302,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
303,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
304,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
305,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
306,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
307,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
308,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
309,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
310,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
311,IPC2000-elevator-mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
312,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
313,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
314,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
315,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
316,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
317,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
318,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
319,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
320,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
321,IPC2000-elevator-mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
322,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
323,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
324,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
325,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
326,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
327,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
328,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
329,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
330,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
331,IPC2000-elevator-mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
332,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
333,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,13
334,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
335,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,13
336,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
337,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,13
338,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
339,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,13
340,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
341,IPC2000-elevator-mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,13
342,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
343,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,12
344,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
345,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
346,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
347,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
348,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
349,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
350,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
351,IPC2000-elevator-mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
352,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
353,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
354,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
355,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,12
356,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
357,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,12
358,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
359,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,12
360,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
361,IPC2000-elevator-mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,12
362,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
363,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,0,11
364,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,11
365,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,6,0,11
366,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,11
367,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,6,0,11
368,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,11
369,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,6,0,11
370,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,11
371,IPC2000-elevator-mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,IPC2000,elevator,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,6,0,11
372,IPC2000-elevator-mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,7,6
373,IPC2000-elevator-mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,IPC2000,elevator,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,6,7,6
